Episodes,Season 1,Season 2,Season 3,Season 4,Season 5,Season 6,Season 7,Season 8,
Episode 1,8.9,8.6,8.6,9.0,8.3,8.4,8.5,7.6,
Episode 2,8.6,8.3,8.4,9.7,8.3,9.2,8.8,7.9,
Episode 3,8.5,8.7,8.7,8.7,8.3,8.6,9.1,7.5,
Episode 4,8.6,8.6,9.5,8.7,8.5,9.0,9.7,5.5,
Episode 5,9.0,8.6,8.9,8.6,8.5,9.7,8.7,5.9,
Episode 6,9.1,8.9,8.7,9.7,7.9,8.3,9.0,4.0,
Episode 7,9.1,8.8,8.6,9.0,8.8,8.5,9.4,,
Episode 8,8.9,8.6,8.9,9.7,9.8,8.3,,,
Episode 9,9.6,9.7,9.9,9.6,9.4,9.9,,,
Episode 10,9.4,9.3,9.1,9.7,9.1,9.9,,,
